escenario,paso,enemigos,bombas,explosiones,powerups,caos,dificultad
Balanceado,0,2.015747914567479,0.878205030749068,0.2260327509341761,0.061968200264731425,1.197887738182233,1.6588382560002288
Balanceado,1,2.00955981882217,0.7901386490960732,0.31967322483236665,0.11435464002331441,1.18389896104294,1.651144428573617
Balanceado,2,2.00030410072375,0.7222290047972088,0.34081464184288734,0.1684141265965079,1.1570980292730382,1.636403916100171
Balanceado,3,1.9880794904368349,0.671984446880482,0.3352021081499705,0.21527629181648822,1.1227575398693066,1.6175166469281195
Balanceado,4,1.9770851228024755,0.6361862992718741,0.31823012329040795,0.26481687575672735,1.08398495539643,1.5961917254680364
Balanceado,5,1.9608945054012958,0.6070582884873033,0.3026234424405848,0.31436749507080797,1.0424640056746555,1.5733552031210596
Balanceado,6,1.9564081331268823,0.58513202267505,0.287840159963817,0.3647560282768284,1.0019721344091357,1.5510846739250248
Balanceado,7,1.9382538329656702,0.5705458355183813,0.27575207023645804,0.41487852409615633,0.9609270958731213,1.5285099027302171
Balanceado,8,1.9179054244459073,0.5589493715873036,0.2651642737566336,0.43521784910190253,0.9256038915690368,1.5090821403629704
Balanceado,9,1.897565369286657,0.5482236974434206,0.25971334060421736,0.484292550989726,0.8886698495888268,1.4887684172738558
Balanceado,10,1.8762032912766964,0.5408675563880722,0.2531875869681335,0.531481555803973,0.8512214805828061,1.4681718143205433
Balanceado,11,1.8551356636171463,0.5466396591027525,0.2491115743071505,0.5783805090617574,0.8152919353244136,1.4484105644284277
Balanceado,12,1.833235169568097,0.5325952357003749,0.2478926110184954,0.6255248565603115,0.7781248975018183,1.4279686936260012
Balanceado,13,1.8105905157488087,0.5280106625757863,0.243628969961019,0.6704539233005788,0.7412955976639946,1.4077125787151974
Balanceado,14,1.7898285319694234,0.5217419196178268,0.24013385344746196,0.7115357436624394,0.7056480956999006,1.3881064526349454
Balanceado,15,1.760355068418135,0.5179345159812384,0.23771702001192663,0.7536974405799995,0.6694106996404338,1.3681758848022385
Balanceado,16,1.765526830317514,0.5160011667977332,0.2346900707261264,0.795331866346695,0.6389930382259482,1.351446171024272
Balanceado,17,1.7446302933503133,0.5126947586713758,0.23208134378699444,0.8379144974054187,0.6074194945302089,1.3340807219916153
Balanceado,18,1.7221319680770748,0.5116494754799519,0.22997300070291668,0.8790637960751784,0.5754473692063654,1.3164960530635015
Balanceado,19,1.705213154224112,0.5079530193290785,0.23129149522674786,0.9192232110715847,0.5444035123160088,1.2994219317738045
Balanceado,20,1.6806795137110009,0.5039205481595005,0.23177821250089117,0.9585709227090848,0.5127773235486395,1.2820275279517515
Balanceado,21,1.662550995998574,0.5003325497542508,0.2334478677635178,0.9965172904665911,0.48256986038610633,1.265413423212359
Balanceado,22,1.6453105281648528,0.5004105652002572,0.23012814834944068,1.072500825393776,0.44625450743680867,1.2454399790902453
Balanceado,23,1.6243705057195246,0.49694228203365454,0.2285486673300379,1.10895091975954,0.41267620461553906,1.226971912538546
Balanceado,24,1.6054450628319517,0.497163095463572,0.2301531417554494,1.1465470728357963,0.38279213129907336,1.2105356722144904
Balanceado,25,1.5871703204814307,0.4974300907037778,0.22507218967651127,1.1677013311713493,0.35737038052229003,1.1965537092872593
Balanceado,26,1.569801093858612,0.4961186455383774,0.22522761520761958,1.2006258052493155,0.33279982005413616,1.1830399010297743
Balanceado,27,1.552578459444441,0.4939693988346348,0.22422475569157452,1.2347313117015115,0.31000884747090407,1.1705048661089972
Balanceado,28,1.539815937316684,0.49373804316583014,0.2249133718973236,1.270003562754844,0.2880357148145929,1.1584196431480265
Balanceado,29,1.5221703062850482,0.4884636322390202,0.2257350951240491,1.3035819166217752,0.2660871042511285,1.1463479073381206
