escenario,corridas,semilla,p_none_teorico,p_health_teorico,p_speed_teorico,p_none_observado,p_health_observado,p_speed_observado,err_abs_none,err_abs_health,err_abs_speed,err_rel_pct_none,err_rel_pct_health,err_rel_pct_speed,ic95_none_inf,ic95_none_sup,ic95_health_inf,ic95_health_sup,ic95_speed_inf,ic95_speed_sup
Base SimuBomber,5000,101,0.7,0.2,0.1,0.7106,0.1952,0.0942,0.010600000000000054,0.004799999999999999,0.0058,1.514285714285722,2.3999999999999995,5.8,0.6980300678297455,0.7231699321702545,0.18421361131639702,0.206186388683603,0.0861032136674357,0.10229678633256431
Generoso,5000,202,0.5,0.3,0.2,0.5082,0.2986,0.1932,0.008199999999999985,0.0014000000000000123,0.0068000000000000005,1.639999999999997,0.4666666666666708,3.4000000000000004,0.49434257101179296,0.522057428988207,0.285914755229291,0.31128524477070896,0.18225646641695656,0.20414353358304346
Escaso,5000,303,0.8,0.12,0.08,0.8044,0.1148,0.0808,0.0043999999999999595,0.005199999999999996,0.0007999999999999952,0.5499999999999949,4.33333333333333,0.999999999999994,0.7934050938828565,0.8153949061171435,0.10596385740341409,0.12363614259658591,0.07324591691102089,0.0883540830889791
